st_name,st_distance,st_right_ascension,st_declination,st_spectral_type,st_solar_radii,st_mass,st_luminosity,st_effective_temp,pl_discovery_method,pl_orbital_period,pl_orbital_sm_axis,pl_orbital_eccentricity,pl_orbital_inclination,pl_jupiter_mass,pl_earth_mass,pl_earth_mass_sini,pl_jupiter_radii,pl_earth_radii,pl_density,pl_equilibrium_temp
HD 219134,6.55,348.32074,57.168354,K3 V,0.77,0.79,-0.509,4913,Radial Velocity,22.805,0.14574,0,,0.028,,8.89924,,,,
HD 219134,6.55,348.32074,57.168354,K3 V,0.77,0.79,-0.509,4913,Radial Velocity,94.2,0.3753,0,,0.034,,10.80622,,,,
HD 219134,6.55,348.32074,57.168354,K3 V,0.77,0.79,-0.509,4913,Radial Velocity,2247,3.11,0.06,,0.34,,108.0622,,,,
HD 219415,169.78,348.724278,56.730328,K0 III,2.9,1,0.62,4820,Radial Velocity,2093.3,3.2,0.4,,1,,317.83,,,,
HD 219828,77.9,349.694733,18.64572,G0 IV,1.69,1.23,0.489,5891,Radial Velocity,3.834887,0.045,0.059,,0.06607,,21,,,,
HD 219828,77.9,349.694733,18.64572,G0 IV,1.69,1.23,0.489,5891,Radial Velocity,4791,5.96,0.8115,,15.1,,4799.233,,,,
HD 220074,289.02,350.059906,61.970127,M2 III,49.7,1.2,,3935,Radial Velocity,672.1,1.6,0.14,,11.1,,3527.8,,,,
HD 220689,45.23,351.470795,-20.61603,G3 V,1.07,1.04,0.093,5921,Radial Velocity,2209,3.36,0.16,,1.06,,336.89,,,,
HD 220773,48.43,351.614349,8.643845,G0,,,,,Radial Velocity,3724.7,4.94,0.51,,1.45,,460.8,,,,
HD 220842,62.5,351.654114,56.886528,F8,,1.13,,5960,Radial Velocity,218.47,0.74,0.404,,3.18,,1010.6994,,,,
HD 221287,52.88,352.834747,-58.209732,F7 V,,1.25,0.22,6304,Radial Velocity,456.1,1.25,0.08,,3.09,,982.05,,,,
HD 221585,53.59,353.225189,63.155483,G8 IV,,1.19,0.422,5620,Radial Velocity,1173,2.306,0.123,,1.61,,511.7063,,,,
HD 222076,83.5,354.533112,-70.903358,K0 III,4.1,1.07,0.929,4806,Radial Velocity,871,1.83,0.08,,1.56,,495.8148,,,,
HD 222155,50.45,354.501282,48.996521,G2 V,1.67,1.13,,5765,Radial Velocity,3999,5.1,0.16,,1.9,,603.85,,,,
HD 222582,41.95,355.464722,-5.985757,G5 V,,0.99,,5727,Radial Velocity,572.38,1.347,0.725,,7.75,,2463.1,,,,
HD 224538,77.76,359.715668,-61.586773,F9 IV/V,1.54,1.34,0.47,6097,Radial Velocity,1189.1,2.28,0.464,,5.97,,1897.4451,,,,
HD 224693,94.07,359.974304,-22.428114,G2 IV,1.7,1.33,,6037,Radial Velocity,26.73,0.192,0.05,,0.71,,225.65,,,,
HD 22781,31.79,55.206356,31.82629,K1,,0.75,,5027,Radial Velocity,528.07,1.167,0.8191,,13.65,,4338.2,,,,
HD 23079,34.6,54.929562,-52.915836,F8/G0 V,,1.01,,5927,Radial Velocity,730.6,1.596,0.102,,2.45,,778.7,,,,
HD 23127,89.13,54.848495,-60.077843,G2 V,,1.13,,,Radial Velocity,1214,2.4,0.44,,1.5,,476.7,,,,
HD 231701,108.46,293.017334,16.474291,F8 V,1.35,1.14,0.4,6208,Radial Velocity,141.6,0.53,0.1,,1.08,,343.24,,,,
HD 233604,,137.45338,53.56823,K5,10.9,1.5,1.75,4791,Radial Velocity,192,0.747,0.05,,6.575,,2089.644,,,,
HD 23596,52,57.001556,40.530636,F8 V,,1.16,,5904,Radial Velocity,1561,2.772,0.266,,7.71,,2450.37,,,,
HD 240210,,347.621792,57.029456,K3 III,,0.82,1.55,4297,Radial Velocity,501.75,1.16,0.15,,5.21,,1655.82,,,,
HD 240237,307.69,348.925934,58.04324,K2 III,32,1.69,2.49,4361,Radial Velocity,745.7,1.9,0.4,,5.3,,1684.4,,,,
HD 24040,46.51,57.595699,17.476366,G0 V,,1.18,,5853,Radial Velocity,3668,4.92,0.04,,4.01,,1274.44,,,,
HD 24064,264.4,59.151241,74.080032,K0,38,1,,4052.5,Radial Velocity,535.6,1.29,0.35,,9.4,,2987.602,,,,
HD 25171,56.05,58.956001,-65.186676,F8 V,1.18,1.09,0.276,6160,Radial Velocity,1845,3.02,0.08,,0.95,,301.926,,,,
HD 2638,53.71,7.499466,-5.764002,G5,,0.93,-0.33,5192,Radial Velocity,3.4442,0.044,0,,0.48,,152.55,,,,
HD 27442,18.24,64.120956,-59.302155,K1/2 III,,1.23,,4846,Radial Velocity,428.1,1.271,0.06,,1.56,,495.8,,,,
HD 27631,44.54,64.939461,-41.960266,G3 IV-V,1,0.94,-0.056,5737,Radial Velocity,2208,3.25,0.12,,1.45,,460.83,,,,
HD 27894,42.37,65.19603,-59.410835,K2 V,,0.8,-0.449,4875,Radial Velocity,17.9904,0.125,0.0486,,0.645,,205,,,,
HD 28185,39.6,66.609673,-10.550821,G5,,0.98,,5546,Radial Velocity,385.9,1.032,0.092,,5.59,,1776.59,,,,
HD 28254,54.7,66.211273,-50.622192,G1 IV/V,1.48,1.06,0.34,5664,Radial Velocity,1116,2.15,0.81,,1.16,,368.67,,,,
HD 285507,42.43,61.755104,15.335032,K4.5 V,0.66,0.73,,4503,Radial Velocity,6.0881,,0.086,,0.917,,291.438,,,,
HD 285968,9.42,70.732407,18.958172,M2 V,0.45,0.45,-1.472,3679,Radial Velocity,8.7836,0.066,0,,0.026,,8.4,,,,450
HD 28678,168.92,67.856056,4.575287,G8 IV,6.2,1.74,1.36,5076,Radial Velocity,387.1,1.25,0.168,,1.7,,540.3,,,,
HD 290327,56.7,80.839851,-2.277619,G8 V,1,0.9,-0.14,5552,Radial Velocity,2443,3.43,0.08,,2.54,,807.25,,,,
HD 2952,115.21,8.293311,54.894985,K0 III,12.02,2.54,1.85,4844,Radial Velocity,311.6,1.2,0.129,,1.6,,508.5,,,,
HD 30177,54.71,70.476555,-58.020756,G8 V,,0.99,,5580,Radial Velocity,2524.4,3.58,0.184,,8.08,,2568.0664,,,,
HD 30177,54.71,70.476555,-58.020756,G8 V,,0.99,,5580,Radial Velocity,11613,9.89,0.22,,7.6,,2415.508,,,,
HD 30562,26.5,72.151604,-5.674045,F8 V,1.53,1.23,,5994,Radial Velocity,1159.2,2.315,0.778,,1.373,,436.362,,,,
HD 30669,57.1,72.11869,-28.419298,G9 V,0.91,0.92,,5400,Radial Velocity,1684,2.69,0.18,,0.47,,149.37,,,,
HD 30856,121.07,72.574425,-24.368839,K0 III,4.2,1.35,0.996,4982,Radial Velocity,912,1.8,0.117,,1.8,,572.1,,,,
HD 31253,53.82,73.681892,12.352201,F8,1.71,1.23,0.517,5960,Radial Velocity,466,1.26,0.3,,0.5,,158.908,,,,
HD 3167,45.8,8.739684,4.381469,K0 V,0.83,0.88,,5370,Transit,0.959628,,,88.4,,,,0.139,1.557,,1860
HD 3167,45.8,8.739684,4.381469,K0 V,0.83,0.88,,5370,Transit,29.8454,,,89.27,,,,0.254,2.85,,500
HD 32518,117.37,77.403,69.639404,K1 III,10.22,1.13,,4580,Radial Velocity,157.54,0.59,0.01,,3.04,,966.16,,,,
HD 32963,35.24,76.982353,26.327963,G5,,0.94,,5727,Radial Velocity,2372,3.41,0.07,,0.7,,222.481,,,,
HD 330075,50.2,237.407043,-49.963524,K1,,0.7,-0.33,5017,Radial Velocity,3.38773,0.039,0,,0.62,,197.05,,,,990
HD 33142,136.8,76.898087,-13.98648,K0 III,4.2,1.48,1.021,5052,Radial Velocity,326.6,1.06,0.12,,1.3,,413.2,,,,
HD 33283,86.88,77.004219,-26.797472,G3 V,1.2,1.24,,5995,Radial Velocity,18.179,0.145,0.48,,0.33,,104.88,,,,
HD 33564,20.98,80.639717,79.231148,F7 V,,1.25,,6250,Radial Velocity,388,1.1,0.34,,9.1,,2892.1,,,,
HD 33844,100.9,78.150421,-14.951111,K0 III,5.29,1.78,1.149,4861,Radial Velocity,551.4,1.6,0.15,,1.96,,622.9468,,,,
HD 33844,100.9,78.150421,-14.951111,K0 III,5.29,1.78,1.149,4861,Radial Velocity,916,2.24,0.13,,1.75,,556.2025,,,,
HD 34445,45.01,79.420746,7.353343,G0,1.38,1.07,0.303,5836,Radial Velocity,1049,2.07,0.27,,0.79,,250,,,,
HD 35759,72.5,82.888962,64.318779,G0,,1.15,,6060,Radial Velocity,82.467,0.389,0.389,,3.76,,1195.0408,,,,
HD 3651,11.1,9.840858,21.250473,K0 V,,0.88,,5221,Radial Velocity,62.218,0.295,0.596,,0.229,,72.78,,,,
HD 37124,33.24,84.260361,20.730787,G4 V,,0.85,,,Radial Velocity,154.378,0.53364,0.054,,0.675,,214.53525,,,,
HD 37124,33.24,84.260361,20.730787,G4 V,,0.85,,,Radial Velocity,885.5,1.71,0.125,,0.652,,207.22516,,,,
HD 37124,33.24,84.260361,20.730787,G4 V,,0.85,,,Radial Velocity,1862,2.807,0.16,,0.696,,221.20968,,,,
HD 37605,42.88,85.00721,6.060579,K0 V,0.9,1,-0.229,5448,Radial Velocity,55.01307,0.2831,0.6767,,2.802,,890.522,,,,
HD 37605,42.88,85.00721,6.060579,K0 V,0.9,1,-0.229,5448,Radial Velocity,2720,3.814,0.013,,3.366,,1069.771,,,,
HD 38283,37.78,84.258408,-73.699341,G0/1 V,,1.08,,5998,Radial Velocity,363.2,1.02,0.41,,0.34,,108.0622,,,,
HD 38529,42.4,86.64547,1.168193,G4 IV,,1.48,,5697,Radial Velocity,14.3098,0.131,0.257,,0.839,,266.64813,,,,
HD 38529,42.4,86.64547,1.168193,G4 IV,,1.48,,5697,Radial Velocity,2140.2,3.712,0.341,,13.38,,4252.39,,,,
HD 38801,99.4,86.996567,-8.3277,G8 IV,2.53,1.36,0.659,5222,Radial Velocity,696.3,1.7,0,,10.7,,3400.64,,,,
HD 39091,18.21,84.291214,-80.469124,G1 V,,1.1,,5950,Radial Velocity,2151,3.38,0.6405,,10.27,,3264,,,,
HD 40307,12.83,88.51767,-60.023472,K3 V,,0.77,-0.639,4956,Radial Velocity,4.3123,0.0468,0.2,,0.0126,,4,,,,
HD 40307,12.83,88.51767,-60.023472,K3 V,,0.77,-0.639,4956,Radial Velocity,9.6184,0.0799,0.06,,0.0208,,6.6,,,,
HD 40307,12.83,88.51767,-60.023472,K3 V,,0.77,-0.639,4956,Radial Velocity,20.432,0.1321,0.07,,0.0299,,9.5,,,,
HD 40307,12.83,88.51767,-60.023472,K3 V,,0.77,-0.639,4956,Radial Velocity,51.76,0.247,0.02,,0.0164,,5.2,,,,
HD 40307,12.83,88.51767,-60.023472,K3 V,,0.77,-0.639,4956,Radial Velocity,197.8,0.6,0.29,,0.0223,,7.1,,,,
HD 40979,33.3,91.124763,44.260445,F8 V,,1.15,,6089,Radial Velocity,264.15,0.846,0.252,,4.01,,1274.44,,,,
HD 41004 A,43.03,89.956871,-48.239693,K1/K2 V,,0.7,-0.187,5010,Radial Velocity,963,,0.74,,2.54,,807.25,,,,
HD 41004 B,43.03,89.956886,-48.239841,M2 V,,0.4,,,Radial Velocity,1.3283,,0.081,,18.37,,5838.29,,,,
HD 4113,44.05,10.802486,-37.982632,G5,,0.99,0.086,5688,Radial Velocity,526.62,1.28,0.903,,1.56,,495.79,,,,
HD 4203,77.82,11.171676,20.448927,G5,,1.13,,5702,Radial Velocity,437.05,1.1735,0.52,,1.82,,578.43,,,,
HD 4203,77.82,11.171676,20.448927,G5,,1.13,,5702,Radial Velocity,6700,6.95,0.24,,2.17,,689.66,,,,
HD 4208,32.7,11.111043,-26.51568,G5 V,,0.87,,5600,Radial Velocity,828,1.65,0.052,,0.804,,255.5,,,,
HD 42618,23.5,93.002357,6.783074,G4 V,1,1.01,-0.009,5727,Radial Velocity,149.61,0.554,0.19,,0.04531,,14.4,,,,337
HD 4308,21.85,11.163615,-65.649521,G5 V,,0.83,-0.004,5685,Radial Velocity,15.56,0.115,0,,0.0442,,14.0475,,,,
HD 4313,131.41,11.41816,7.845021,G5,4.9,1.72,1.149,5035,Radial Velocity,356,1.19,0.041,,2.3,,730.978,,,,
HD 43197,56.3,93.39859,-29.89727,G8 V,1,0.96,-0.137,5508,Radial Velocity,327.8,0.92,0.83,,0.6,,190.69,,,,
HD 43691,93.2,94.894485,41.092304,G0 IV,,1.38,,6200,Radial Velocity,36.96,0.24,0.14,,2.49,,791.36,,,,
HD 44219,50.4,95.059677,-10.725009,G2 V,1.32,1,0.26,5752,Radial Velocity,472.3,1.19,0.61,,0.58,,184.33,,,,
HD 45350,48.95,97.19046,38.962963,G5 V,,1.02,,5616,Radial Velocity,963.6,1.92,0.778,,1.79,,568.89,,,,
HD 45364,32.58,96.410316,-31.480953,K0 V,,,,,Radial Velocity,226.93,0.6813,0.1684,,0.1872,,59.4953,,,,
HD 45364,32.58,96.410316,-31.480953,K0 V,,,,,Radial Velocity,342.85,0.8972,0.0974,,0.6579,,209.0915,,,,
HD 45652,36.14,97.304962,10.933891,G8-K0,,0.83,,5312,Radial Velocity,43.6,0.23,0.38,,0.47,,150,,,,
HD 46375,33.41,98.302597,5.462925,K1 IV-V,,0.92,,5285,Radial Velocity,3.023573,0.0398,0.063,,0.226,,71.8,,,,
HD 47186,37.84,99.036613,-27.622297,G5 V,,0.99,,5675,Radial Velocity,4.0845,0.05,0.038,,0.07167,,22.78,,,,
HD 47186,37.84,99.036613,-27.622297,G5 V,,0.99,,5675,Radial Velocity,1353.6,2.395,0.249,,0.35061,,111.42,,,,
HD 4732,56.5,12.308117,-24.136671,K0 IV,5.4,1.74,1.19,4959,Radial Velocity,360.2,1.19,0.13,,2.37,,753.23,,,,
HD 4732,56.5,12.308117,-24.136671,K0 IV,5.4,1.74,1.19,4959,Radial Velocity,2732,4.6,0.23,,2.37,,753.23,,,,
HD 47536,121.36,99.44841,-32.339733,K1 III,22.39,0.91,2.27,4424,Radial Velocity,712.13,1.93,0.2,,7.32,,2330,,,,
HD 48265,85.4,100.007195,-48.541954,G5 IV/V,2.05,1.28,0.584,5650,Radial Velocity,780.3,1.81,0.08,,1.47,,467.2101,,,,
HD 49674,40.73,102.877151,40.867756,G5 V,,1.06,,5662,Radial Velocity,4.94737,0.058,0.087,,0.105,,33.4,,,,
HD 50499,47.26,103.008438,-33.915562,G0/2 V,,1.24,,,Radial Velocity,2482.7,3.86,0.23,,1.71,,543.47,,,,
HD 50554,31.03,103.678436,24.245558,F8,1.02,1.04,0.143,5987,Radial Velocity,1293,2.353,0.501,,4.954,,1574.464,,,,
HD 52265,28.07,105.07515,-5.367162,G0 V,1.1,1.18,0.297,6060,Radial Velocity,119.6,0.5,0.35,,1.05,,334,,,,405
HD 5319,114,13.755836,0.789553,K3 IV,3.85,1.51,0.908,4958,Radial Velocity,641,1.6697,0.02,,1.76,,559.36,,,,
HD 5319,114,13.755836,0.789553,K3 IV,3.85,1.51,0.908,4958,Radial Velocity,886,2.071,0.15,,1.15,,365.49,,,,
HD 5583,221,14.486255,34.985561,,9.09,1.01,1.61,4830,Radial Velocity,139.35,0.53,0.076,,5.78,,1837.0574,,,,
HD 5608,58.17,14.559246,33.950886,K0,5.5,1.55,1.179,4854,Radial Velocity,792.6,1.9,0.19,,1.4,,444.962,,,,
HD 564,53.6,2.470091,-50.267822,G2/G3 V,1.01,0.96,,5902,Radial Velocity,492.3,1.2,0.096,,0.33,,104.88,,,,
HD 5891,150.6,15.1383,20.292484,G5,8.7,1.91,1.595,4907,Radial Velocity,177.11,0.76,0.066,,7.6,,2415.4,,,,
HD 59686 A,96.8,112.951653,17.086046,K2 III,13.2,1.9,,4658,Radial Velocity,299.36,1.086,0.05,,6.92,,2199.3836,,,,
HD 60532,25.3,113.513252,-22.296066,F6 IV,2.57,1.5,,6245,Radial Velocity,201.9,0.77,0.26,,1.06,,336.8998,,,,
HD 60532,25.3,113.513252,-22.296066,F6 IV,2.57,1.5,,6245,Radial Velocity,600.1,1.6,0.03,,2.51,,797.7533,,,,
HD 62509,10.34,116.328957,28.026199,K0 III,8.31,2.1,1.59,4946,Radial Velocity,589.64,1.64,0.02,,2.3,,731,,,,
HD 63454,35.8,114.841049,-78.278969,K4 V,1.05,0.84,,4840,Radial Velocity,2.818049,0.0368,0,,0.398,,126,1.098,12.31,,
HD 63765,32.62,116.957161,-54.264145,G6 IV/V,,,,,Radial Velocity,358,0.94,0.24,,0.64,,203.4,,,,
HD 6434,40.32,16.167295,-39.488216,G2/3 V,1.14,0.89,,5690,Radial Velocity,22.017,0.148,0.146,,0.44,,139.8452,,,,
HD 65216,35.59,118.422173,-63.647324,G5 V,,0.92,-0.149,5666,Radial Velocity,572.4,1.3,0,,1.26,,400.45,,,,
HD 65216,35.59,118.422173,-63.647324,G5 V,,0.92,-0.149,5666,Radial Velocity,152.6,0.54,0.02,,0.17,,54.03,,,,
HD 66141,80.06,120.566406,2.334571,K2 III,21.4,1.1,2.24,4323,Radial Velocity,480.5,1.2,0.07,,6,,1906.9,,,,
HD 66428,55.04,120.869438,-1.162709,G8 IV (+ G),,1.1,,5752,Radial Velocity,1973,3.18,0.465,,2.82,,896.2,,,,
HD 67087,88.81,121.915649,31.551319,F8 V,1.55,1.36,0.54,6330,Radial Velocity,352.2,1.08,0.17,,3.06,,973,,,,
HD 67087,88.81,121.915649,31.551319,F8 V,1.55,1.36,0.54,6330,Radial Velocity,2374,3.86,0.76,,4.85,,1540,,,,
HD 6718,54.9,16.952761,-8.233706,G5 V,1.02,0.96,0.053,5746,Radial Velocity,2496,3.56,0.1,,1.56,,496,,,,
HD 68402,78,121.348717,-74.410416,G5 IV/V,1.02,1.12,0.068,5950,Radial Velocity,1103,2.18,0.03,,3.07,,975.7381,,,,
HD 68988,58.82,124.592384,61.460724,G2 V,,1.18,,5960,Radial Velocity,6.27711,0.0704,0.1249,,1.86,,591,,,,
HD 69830,12.58,124.599777,-12.632174,K0 V,,0.86,-0.22,5385,Radial Velocity,8.667,0.0785,0.1,,0.0321,,10.2,,,,
HD 69830,12.58,124.599777,-12.632174,K0 V,,0.86,-0.22,5385,Radial Velocity,31.56,0.186,0.13,,0.0371,,11.8,,,,
HD 69830,12.58,124.599777,-12.632174,K0 V,,0.86,-0.22,5385,Radial Velocity,197,0.63,0.07,,0.057,,18.1,,,,
HD 70573,45.7,125.708135,1.859323,G1-1.5 V,,1,,5737,Radial Velocity,851.8,1.76,0.4,,6.1,,1900,,,,
HD 70642,28.76,125.367233,-39.70541,G5,,1.05,,5706,Radial Velocity,2068,3.23,0.034,,1.97,,626,,,,
HD 7199,35.88,17.696762,-66.188164,K0 IV/V,0.96,0.89,-0.155,5386,Radial Velocity,615,1.36,0.19,,0.29,,92.1668,,,,
HD 72659,51.4,128.51329,-1.568217,G2 V,1.36,1.06,0.336,5926,Radial Velocity,3658,4.74,0.22,,3.15,,1001.1645,,,,
HD 72892,72.78,128.719147,-14.456694,G5 V,1.22,1.02,0.146,5688,Radial Velocity,39.475,0.228,0.423,,5.45,,1732.1735,,,,
HD 73256,36.52,129.095901,-30.037626,G8/K0,0.89,1.05,-0.16,5570,Radial Velocity,2.54858,0.037,0.029,,1.87,,594,,,,
HD 73267,54.91,129.074066,-34.45998,G5 V,1.04,0.89,-0.106,5317,Radial Velocity,1260,2.198,0.256,,3.06,,973,,,,
HD 73526,94.61,129.31868,-41.319103,G6 V,,1.01,,,Radial Velocity,188.9,0.65,0.29,,2.25,,715.09,,,,
HD 73526,94.61,129.31868,-41.319103,G6 V,,1.01,,,Radial Velocity,379.1,1.03,0.28,,2.25,,715.09,,,,
HD 73534,81,129.815842,12.960376,G5 IV,2.39,1.23,0.522,5041,Radial Velocity,1770,3.067,0.074,,1.103,,350,,,,
HD 74156,64.6,130.604675,4.578097,G0,,1.24,,6068,Radial Velocity,51.645,0.292,0.627,,1.8,,572.07,,,,
HD 74156,64.6,130.604675,4.578097,G0,,1.24,,6068,Radial Velocity,2473,3.85,0.432,,8.06,,2561.6,,,,
HD 7449,38.52,18.622173,-5.047387,G0 V,1.01,1.05,0.083,6024,Radial Velocity,1275,2.3,0.82,,1.11,,352.776,,,,
HD 75289,28.94,131.918289,-41.736794,G0,,1.21,,6095,Radial Velocity,3.509267,0.0482,0.034,,0.467,,148.42661,,,,
HD 75784,68.7,133.099747,13.233433,K3 IV,3.3,1.41,0.756,4917,Radial Velocity,341.7,1.073,0.13,,1.15,,365.49,,,,
HD 75898,80.58,133.461685,33.056812,G0 V,1.6,1.28,,6021,Radial Velocity,418.2,1.19,0.1,,2.51,,797.7533,,,,
HD 76700,59.7,133.481308,-66.800995,G6 V,,1,,,Radial Velocity,3.971,0.049,0,,0.197,,62.61251,,,,
HD 77338,41.27,135.302063,-25.527061,K0 IV,0.88,0.93,-0.26,5370,Radial Velocity,5.7361,0.0614,0.09,,0.05,15.9,,,,,
HD 7924,16.82,20.496313,76.710281,K0.5 V,0.78,0.83,,5075,Radial Velocity,5.39792,0.05664,0.058,,0.02731,,8.68,,,,826
HD 7924,16.82,20.496313,76.710281,K0.5 V,0.78,0.83,,5075,Radial Velocity,15.299,0.1134,0.098,,0.02473,,7.86,,,,584
HD 7924,16.82,20.496313,76.710281,K0.5 V,0.78,0.83,,5075,Radial Velocity,24.451,0.1551,0.21,,0.02026,,6.44,,,,499
HD 79498,48.64,138.789169,23.375549,G5,,,,,Radial Velocity,1966.1,3.13,0.59,,1.34,,425.9,,,,
HD 80606,29.04,140.65654,50.603722,G5,0.98,0.97,,5645,Radial Velocity,111.4357,0.449,0.9332,89.32,3.94,1252.2,,0.98,10.98,,
HD 81040,32.56,140.946198,20.364454,G2/G3,0.86,0.96,,5700,Radial Velocity,1001.7,1.94,0.526,,6.86,,2180.3138,,,,
HD 81688,88.26,142.166626,45.601482,G5,13,2.1,1.857,4753,Radial Velocity,184.02,0.81,0,,2.7,,858.1,,,,
HD 82886,112.23,143.938263,34.780743,G0,4.8,1.06,1.143,5112,Radial Velocity,705,1.65,0.066,,1.3,,413.2,,,,
HD 82943,27.46,143.711395,-12.129546,G2/3 V,,1.2,,6016,Radial Velocity,441.47,1.18306,0.162,90,1.681,534.25,,,,,
HD 82943,27.46,143.711395,-12.129546,G2/3 V,,1.2,,6016,Radial Velocity,220.078,0.74345,0.3663,90,1.959,622.603,,,,,
HD 83443,43.53,144.299286,-43.272205,K0/1 V + G (III),,0.9,-0.06,5454,Radial Velocity,2.985698,0.0406,0.012,,0.398,,126.491,,,,
HD 8535,52.5,20.905149,-41.269802,G0 V,1.19,1.13,,6136,Radial Velocity,1313,2.45,0.15,,0.68,,216.1244,,,,
HD 85390,33.96,147.510406,-49.790268,K1 V,,0.76,-0.367,5186,Radial Velocity,788,1.52,0.41,,0.132,,42,,,,
HD 85512,11.15,147.779388,-43.502789,K5 V,,0.69,,4715,Radial Velocity,58.43,0.26,0.11,90,0.011,,3.6,,,,298
HD 8574,44.2,21.302153,28.566692,F8,,1.12,,6050,Radial Velocity,227,0.757,0.297,,1.8,,572.07,,,,
HD 86081,91.16,149.024658,-3.808422,F8 V,1.22,1.21,,,Radial Velocity,2.1375,0.035,0.008,,1.5,,476.745,,,,
HD 86226,42.48,149.124359,-24.09939,G2 V,1.02,1.06,0.025,5903,Radial Velocity,1695,2.84,0.15,,0.92,,292.39,,,,
HD 86264,72.57,149.240997,-15.895122,F7 V,,,,,Radial Velocity,1475,2.86,0.7,,7,,2224.81,,,,
HD 8673,38.26,21.536604,34.5797,F5,,,,,Radial Velocity,1634,3.02,0.723,,14.2,,4513,,,,
HD 86950,169,150.406708,-17.333023,K1 III,8.8,1.66,1.56,4805,Radial Velocity,1270,2.72,0.17,,3.6,,1144.188,,,,
HD 87646,73.58,151.669861,17.895103,G,1.55,1.12,,5770,Radial Velocity,13.481,0.117,0.05,,12.4,,3941.092,,,,
HD 87883,18.06,152.179749,34.24226,K2.5 V,,,,,Radial Velocity,2754,3.6,0.53,,1.78,,565.7374,,,,
HD 88133,74.46,152.531982,18.186871,G5 IV,1.94,1.18,,5438,Radial Velocity,3.4148674,0.04691,0.05,15,1.02,324.1866,85.8141,,,,
HD 89307,30.88,154.588699,12.621108,G0,,,,,Radial Velocity,2157,3.27,0.241,,1.78,,565.7374,,,,
HD 89744,39,155.544006,41.22953,F7 V,,1.56,,6291,Radial Velocity,256.78,0.918,0.673,,8.44,,2682.37,,,,
HD 90156,22.09,155.980316,-29.645529,G5 V,,0.84,-0.143,5599,Radial Velocity,49.77,0.25,0.31,,0.057,,17.98,,,,
HD 9174,78.93,22.504177,-19.604502,G8 IV,1.67,1.03,0.382,5577,Radial Velocity,1179,2.2,0.12,,1.11,,352.7913,,,,
HD 92788,32.32,160.702209,-2.183756,G6 V,,1.1,0.02,5821,Radial Velocity,325,0.96,0.35,,3.58,,1137.8314,,,,
HD 93083,28.9,161.087143,-33.577023,K3 V,,0.7,-0.387,4995,Radial Velocity,143.58,0.477,0.14,,0.37,,117.59,,,,
HD 9446,52.85,23.334101,29.265148,G5 V,1,1,0.041,5793,Radial Velocity,30.052,0.189,0.2,,0.7,,222.472,,,,
HD 9446,52.85,23.334101,29.265148,G5 V,1,1,0.041,5793,Radial Velocity,192.9,0.654,0.06,,1.82,,578.426,,,,
HD 95086,91.57,164.262589,-68.667343,A8 III,,1.6,,,Imaging,,55.7,,,5,1589,,,,,1000
HD 95089,149.03,164.698898,1.729216,G8/K0 IV,4.9,1.58,1.13,5002,Radial Velocity,507,1.51,0.157,,1.2,,381.38,,,,
HD 95127,332,164.896194,43.814465,K0,20,1.2,2.28,4218,Radial Velocity,482,1.28,0.11,,5.01,,1592.26,,,,
HD 95872,7.56,165.867114,-22.093977,K0 V,,0.95,,5312,Radial Velocity,4375,5.2,0.06,,4.6,,1462.018,,,,
HD 96063,132.8,166.185226,-2.513218,G6 V,4.5,1.02,1.104,5148,Radial Velocity,361.1,0.99,0.03,,0.9,,286,,,,
HD 96127,221.24,166.441452,44.301559,K2 III,35,0.91,2.86,4152,Radial Velocity,647.3,1.4,0.3,,4,,1271.32,,,,
HD 96167,84.03,166.31279,-10.291301,G3 V,1.86,1.31,,5770,Radial Velocity,498.9,1.3,0.71,,0.68,,216.1244,,,,
HD 97658,21.3,168.638184,25.710384,K1,0.7,0.75,,5119,Radial Velocity,9.4909,0.0796,0.063,89.45,0.02473,7.86,7.86,0.209,2.341,3.35,
HD 98219,150.38,169.448135,-23.975414,K0 III/IV,4.5,1.3,1.049,4992,Radial Velocity,436.9,1.23,0.112,,1.8,,572.1,,,,
HD 98649,42.77,170.215698,-23.217342,G4 V,1,1,-0.066,5759,Radial Velocity,4951,5.6,0.85,,6.8,,2161.2,,,,
HD 99109,60.46,171.072327,-1.529076,G8/K0 IV,,0.93,,5272,Radial Velocity,439.3,1.105,0.09,,0.502,,159.5,,,,
HD 99492,55.7,171.692825,3.006328,K2/4,0.78,0.85,,4929,Radial Velocity,17.054,0.123,0.07,,0.079,,25.10857,,,,
HD 99706,130.89,172.125885,43.966579,K0,5.4,1.72,1.188,4932,Radial Velocity,868,2.14,0.365,,1.4,,444.9,,,,
HIP 105854,84.6,321.595306,-37.82943,K2 III,,2.1,1.67,4780,Radial Velocity,184.2,0.81,0.02,,8.2,,2606.1,,,,
HIP 107773,,327.500519,-64.71254,K1 III,11.6,2.42,1.87,4945,Radial Velocity,144.3,0.72,0.09,,1.98,,629.3034,,,,
HIP 109384,56.2,332.405823,71.314331,G5,,0.78,,5180,Radial Velocity,499.48,1.134,0.549,,1.56,,495.8148,,,,
HIP 109600,58.6,333.026062,29.065811,G5,,0.87,,5530,Radial Velocity,232.08,0.706,0.163,,2.68,,851.7844,,,,
HIP 116454,55.2,353.955353,0.445516,K1,0.72,0.78,,5089,Radial Velocity,9.1205,0.0906,0.205,88.43,0.037,11.82,,0.226,2.53,4.17,690
